,Country,Time,Frequency,MEAS,Value
643,Portugal,2013,Annual,PCT,18.6
644,Portugal,2014,Annual,PCT,18.6
647,Portugal,2015,Annual,PCT,16.1
645,Portugal,2016,Annual,PCT,15.3
648,Portugal,2017,Annual,PCT,15.3
646,Portugal,2018,Annual,PCT,15.3
649,Portugal,2019,Annual,PCT,15.3
650,Portugal,2020,Annual,PCT,15.3
651,Slovak Republic,2000,Annual,PCT,34.2
652,Slovak Republic,2001,Annual,PCT,32.5
653,Slovak Republic,2002,Annual,PCT,30.1
654,Slovak Republic,2003,Annual,PCT,27.7
655,Slovak Republic,2004,Annual,PCT,25.4
656,Slovak Republic,2005,Annual,PCT,23.5
657,Slovak Republic,2006,Annual,PCT,20.6
658,Slovak Republic,2007,Annual,PCT,18.7
659,Slovak Republic,2008,Annual,PCT,16.8
660,Slovak Republic,2009,Annual,PCT,16.0
661,Slovak Republic,2010,Annual,PCT,16.4
662,Slovak Republic,2011,Annual,PCT,14.5
663,Slovak Republic,2012,Annual,PCT,14.5
664,Slovak Republic,2013,Annual,PCT,14.1
665,Slovak Republic,2014,Annual,PCT,13.4
668,Slovak Republic,2015,Annual,PCT,12.6
666,Slovak Republic,2016,Annual,PCT,11.8
669,Slovak Republic,2017,Annual,PCT,11.5
667,Slovak Republic,2018,Annual,PCT,11.3
670,Slovak Republic,2019,Annual,PCT,11.3
671,Slovak Republic,2020,Annual,PCT,11.3
672,Slovenia,2000,Annual,PCT,44.2
673,Slovenia,2001,Annual,PCT,43.3
674,Slovenia,2002,Annual,PCT,47.1
675,Slovenia,2003,Annual,PCT,45.3
676,Slovenia,2004,Annual,PCT,37.1
677,Slovenia,2005,Annual,PCT,37.5
678,Slovenia,2006,Annual,PCT,32.2
679,Slovenia,2007,Annual,PCT,30.6
680,Slovenia,2008,Annual,PCT,29.7
681,Slovenia,2009,Annual,PCT,40.4
682,Slovenia,2010,Annual,PCT,32.6
683,Slovenia,2011,Annual,PCT,36.7
684,Slovenia,2012,Annual,PCT,26.8
685,Slovenia,2013,Annual,PCT,26.2
686,Slovenia,2014,Annual,PCT,29.4
689,Slovenia,2015,Annual,PCT,23.8
687,Slovenia,2016,Annual,PCT,23.8
690,Slovenia,2017,Annual,PCT,23.8
688,Slovenia,2018,Annual,PCT,23.8
691,Slovenia,2019,Annual,PCT,23.8
692,Slovenia,2020,Annual,PCT,23.8
693,Spain,2000,Annual,PCT,17.5
694,Spain,2001,Annual,PCT,17.2
695,Spain,2002,Annual,PCT,16.8
696,Spain,2003,Annual,PCT,16.5
697,Spain,2004,Annual,PCT,16.0
698,Spain,2005,Annual,PCT,15.5
699,Spain,2006,Annual,PCT,15.6
700,Spain,2007,Annual,PCT,16.4
701,Spain,2008,Annual,PCT,17.4
702,Spain,2009,Annual,PCT,18.3
703,Spain,2010,Annual,PCT,18.2
704,Spain,2011,Annual,PCT,17.9
705,Spain,2012,Annual,PCT,17.8
706,Spain,2013,Annual,PCT,17.0
707,Spain,2014,Annual,PCT,15.8
710,Spain,2015,Annual,PCT,14.4
708,Spain,2016,Annual,PCT,13.9
711,Spain,2017,Annual,PCT,13.4
709,Spain,2018,Annual,PCT,13.0
712,Spain,2019,Annual,PCT,12.5
713,Spain,2020,Annual,PCT,12.5
714,Sweden,2000,Annual,PCT,81.0
715,Sweden,2001,Annual,PCT,78.7
716,Sweden,2002,Annual,PCT,78.0
717,Sweden,2003,Annual,PCT,77.2
718,Sweden,2004,Annual,PCT,76.4
719,Sweden,2005,Annual,PCT,75.7
720,Sweden,2006,Annual,PCT,74.3
721,Sweden,2007,Annual,PCT,70.8
722,Sweden,2008,Annual,PCT,68.3
723,Sweden,2009,Annual,PCT,68.4
724,Sweden,2010,Annual,PCT,68.2
725,Sweden,2011,Annual,PCT,67.5
726,Sweden,2012,Annual,PCT,67.5
727,Sweden,2013,Annual,PCT,67.7
728,Sweden,2014,Annual,PCT,67.3
731,Sweden,2015,Annual,PCT,67.0
729,Sweden,2016,Annual,PCT,66.7
732,Sweden,2017,Annual,PCT,66.1
730,Sweden,2018,Annual,PCT,65.5
733,Sweden,2019,Annual,PCT,65.2
734,Sweden,2020,Annual,PCT,65.2
735,Switzerland,2000,Annual,PCT,20.7
736,Switzerland,2001,Annual,PCT,20.2
737,Switzerland,2002,Annual,PCT,20.3
738,Switzerland,2003,Annual,PCT,20.4
739,Switzerland,2004,Annual,PCT,19.9
740,Switzerland,2005,Annual,PCT,19.8
741,Switzerland,2006,Annual,PCT,19.3
742,Switzerland,2007,Annual,PCT,18.9
743,Switzerland,2008,Annual,PCT,17.9
744,Switzerland,2009,Annual,PCT,17.7
745,Switzerland,2010,Annual,PCT,17.6
746,Switzerland,2011,Annual,PCT,17.0
747,Switzerland,2012,Annual,PCT,16.5
748,Switzerland,2013,Annual,PCT,16.6
749,Switzerland,2014,Annual,PCT,16.1
752,Switzerland,2015,Annual,PCT,15.7
750,Switzerland,2016,Annual,PCT,15.3
753,Switzerland,2017,Annual,PCT,14.9
751,Switzerland,2018,Annual,PCT,14.4
754,Switzerland,2019,Annual,PCT,14.4
755,Switzerland,2020,Annual,PCT,14.4
756,Türkiye,2000,Annual,PCT,12.5
757,Türkiye,2001,Annual,PCT,12.5
758,Türkiye,2002,Annual,PCT,11.9
759,Türkiye,2003,Annual,PCT,11.2
760,Türkiye,2004,Annual,PCT,10.5
761,Türkiye,2005,Annual,PCT,10.3
762,Türkiye,2006,Annual,PCT,9.4
763,Türkiye,2007,Annual,PCT,8.3
764,Türkiye,2008,Annual,PCT,7.3
765,Türkiye,2009,Annual,PCT,7.3
766,Türkiye,2010,Annual,PCT,7.3
767,Türkiye,2011,Annual,PCT,7.1
768,Türkiye,2012,Annual,PCT,6.3
769,Türkiye,2013,Annual,PCT,6.3
770,Türkiye,2014,Annual,PCT,6.9
773,Türkiye,2015,Annual,PCT,8.0
771,Türkiye,2016,Annual,PCT,8.2
774,Türkiye,2017,Annual,PCT,8.6
772,Türkiye,2018,Annual,PCT,9.2
775,Türkiye,2019,Annual,PCT,9.9
776,Türkiye,2020,Annual,PCT,9.9
777,United Kingdom,2000,Annual,PCT,29.8
778,United Kingdom,2001,Annual,PCT,29.3
779,United Kingdom,2002,Annual,PCT,28.8
780,United Kingdom,2003,Annual,PCT,29.3
781,United Kingdom,2004,Annual,PCT,28.8
782,United Kingdom,2005,Annual,PCT,28.6
783,United Kingdom,2006,Annual,PCT,28.3
784,United Kingdom,2007,Annual,PCT,28.0
785,United Kingdom,2008,Annual,PCT,27.5
786,United Kingdom,2009,Annual,PCT,27.4
787,United Kingdom,2010,Annual,PCT,26.6
788,United Kingdom,2011,Annual,PCT,26.0
789,United Kingdom,2012,Annual,PCT,26.1
790,United Kingdom,2013,Annual,PCT,25.6
791,United Kingdom,2014,Annual,PCT,25.0
794,United Kingdom,2015,Annual,PCT,24.7
792,United Kingdom,2016,Annual,PCT,23.6
795,United Kingdom,2017,Annual,PCT,23.3
793,United Kingdom,2018,Annual,PCT,23.4
796,United Kingdom,2019,Annual,PCT,23.5
797,United Kingdom,2020,Annual,PCT,23.5
798,United States,2000,Annual,PCT,12.9
799,United States,2001,Annual,PCT,12.9
800,United States,2002,Annual,PCT,12.8
801,United States,2003,Annual,PCT,12.4
802,United States,2004,Annual,PCT,12.0
803,United States,2005,Annual,PCT,12.0
804,United States,2006,Annual,PCT,11.5
805,United States,2007,Annual,PCT,11.6
806,United States,2008,Annual,PCT,11.9
807,United States,2009,Annual,PCT,11.8
808,United States,2010,Annual,PCT,11.4
809,United States,2011,Annual,PCT,11.3
810,United States,2012,Annual,PCT,10.8
811,United States,2013,Annual,PCT,10.8
812,United States,2014,Annual,PCT,10.7
815,United States,2015,Annual,PCT,10.6
813,United States,2016,Annual,PCT,10.3
816,United States,2017,Annual,PCT,10.3
814,United States,2018,Annual,PCT,10.1
817,United States,2019,Annual,PCT,9.9
818,United States,2020,Annual,PCT,10.3
