,Country,Frequency,MEAS,Time,Value
619,Estonia,Annual,PCT,2002,12.6
620,Estonia,Annual,PCT,2003,11.0
621,Estonia,Annual,PCT,2004,9.3999996
622,Estonia,Annual,PCT,2005,8.6999998
623,Estonia,Annual,PCT,2006,8.3999996
624,Estonia,Annual,PCT,2007,7.5999999
625,Estonia,Annual,PCT,2008,6.1999998
626,Estonia,Annual,PCT,2009,7.5999999
627,Estonia,Annual,PCT,2010,8.1999998
628,Estonia,Annual,PCT,2011,7.0
629,Estonia,Annual,PCT,2012,6.0
630,Estonia,Annual,PCT,2013,5.5999999
631,Estonia,Annual,PCT,2014,5.3000002
632,Estonia,Annual,PCT,2015,4.5
633,Estonia,Annual,PCT,2016,5.0
634,Estonia,Annual,PCT,2017,4.6999998
635,Estonia,Annual,PCT,2018,5.9000001
636,Estonia,Annual,PCT,2019,6.0
637,Israel,Annual,PCT,2000,37.700001
638,Israel,Annual,PCT,2007,30.299999
639,Israel,Annual,PCT,2012,22.799999
640,Israel,Annual,PCT,2017,25.0
641,Latvia,Annual,PCT,2003,21.0
642,Latvia,Annual,PCT,2006,18.0
643,Latvia,Annual,PCT,2007,16.700001
644,Latvia,Annual,PCT,2008,15.2
645,Latvia,Annual,PCT,2009,15.2
646,Latvia,Annual,PCT,2010,15.1
647,Latvia,Annual,PCT,2011,13.7
648,Latvia,Annual,PCT,2012,13.2
649,Latvia,Annual,PCT,2013,12.9
650,Latvia,Annual,PCT,2014,12.8
651,Latvia,Annual,PCT,2015,12.7
652,Latvia,Annual,PCT,2016,12.4
653,Latvia,Annual,PCT,2017,12.3
654,Latvia,Annual,PCT,2018,11.6
655,Lithuania,Annual,PCT,2001,18.5
656,Lithuania,Annual,PCT,2003,12.2
657,Lithuania,Annual,PCT,2006,9.8000002
658,Lithuania,Annual,PCT,2007,9.3000002
659,Lithuania,Annual,PCT,2008,8.8999996
660,Lithuania,Annual,PCT,2009,10.0
661,Lithuania,Annual,PCT,2010,10.1
662,Lithuania,Annual,PCT,2011,9.6999998
663,Lithuania,Annual,PCT,2012,9.0
664,Lithuania,Annual,PCT,2013,8.3999996
665,Lithuania,Annual,PCT,2014,8.1000004
666,Lithuania,Annual,PCT,2015,7.9000001
667,Lithuania,Annual,PCT,2016,7.6999998
668,Lithuania,Annual,PCT,2017,7.6999998
669,Lithuania,Annual,PCT,2018,7.0999999
670,Lithuania,Annual,PCT,2019,7.4000001
671,Slovenia,Annual,PCT,2000,44.200001
672,Slovenia,Annual,PCT,2001,43.299999
673,Slovenia,Annual,PCT,2002,47.099998
674,Slovenia,Annual,PCT,2003,45.299999
675,Slovenia,Annual,PCT,2004,37.099998
676,Slovenia,Annual,PCT,2005,37.5
677,Slovenia,Annual,PCT,2006,32.200001
678,Slovenia,Annual,PCT,2007,30.6
679,Slovenia,Annual,PCT,2008,29.700001
680,Slovenia,Annual,PCT,2009,40.400002
681,Slovenia,Annual,PCT,2010,32.599998
682,Slovenia,Annual,PCT,2011,36.700001
683,Slovenia,Annual,PCT,2012,26.799999
684,Slovenia,Annual,PCT,2013,26.200001
685,Slovenia,Annual,PCT,2014,29.4
686,Slovenia,Annual,PCT,2015,23.799999
